material,material_display,indenter,indenter_display,morphology_id,morphology_display,contact_positions_mm,total_evaluated_samples,n_correct,exact_accuracy_percent,neighboring_accuracy_percent,mean_absolute_location_error_mm,diagonal_mass_count,off_diagonal_mass_count,diagonal_dominance_ratio,median_signed_prediction_bias_mm,raw_counts,row_normalized_percentages
solaris,Solaris,sphere_10mm,10 mm sphere,baseline,Baseline,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,26,86.66666666666667,93.33333333333333,2.0,26,4,6.5,0.0,"[[5,0,0,0,0,0],[1,2,0,2,0,0],[0,0,5,0,0,0],[0,0,0,5,0,0],[0,0,0,0,4,1],[0,0,0,0,0,5]]","[[100.0,0.0,0.0,0.0,0.0,0.0],[20.0,40.0,0.0,40.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,0.0,100.0,0.0,0.0],[0.0,0.0,0.0,0.0,80.0,20.0],[0.0,0.0,0.0,0.0,0.0,100.0]]"
solaris,Solaris,sphere_10mm,10 mm sphere,flat_opt,Opt-Flat,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,29,96.66666666666667,100.0,0.3333333333333333,29,1,29.0,0.0,"[[5,0,0,0,0,0],[0,5,0,0,0,0],[0,0,4,1,0,0],[0,0,0,5,0,0],[0,0,0,0,5,0],[0,0,0,0,0,5]]","[[100.0,0.0,0.0,0.0,0.0,0.0],[0.0,100.0,0.0,0.0,0.0,0.0],[0.0,0.0,80.0,20.0,0.0,0.0],[0.0,0.0,0.0,100.0,0.0,0.0],[0.0,0.0,0.0,0.0,100.0,0.0],[0.0,0.0,0.0,0.0,0.0,100.0]]"
solaris,Solaris,sphere_10mm,10 mm sphere,angled_opt,Opt-Curved,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,27,90.0,100.0,1.0,27,3,9.0,0.0,"[[3,2,0,0,0,0],[0,4,1,0,0,0],[0,0,5,0,0,0],[0,0,0,5,0,0],[0,0,0,0,5,0],[0,0,0,0,0,5]]","[[60.0,40.0,0.0,0.0,0.0,0.0],[0.0,80.0,20.0,0.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,0.0,100.0,0.0,0.0],[0.0,0.0,0.0,0.0,100.0,0.0],[0.0,0.0,0.0,0.0,0.0,100.0]]"
solaris,Solaris,sphere_30mm,30 mm sphere,baseline,Baseline,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,23,76.66666666666667,93.33333333333333,3.3333333333333335,23,7,3.2857142857142856,0.0,"[[4,1,0,0,0,0],[1,3,1,0,0,0],[0,1,3,0,0,1],[0,0,1,3,0,1],[0,0,0,0,5,0],[0,0,0,0,0,5]]","[[80.0,20.0,0.0,0.0,0.0,0.0],[20.0,60.0,20.0,0.0,0.0,0.0],[0.0,20.0,60.0,0.0,0.0,20.0],[0.0,0.0,20.0,60.0,0.0,20.0],[0.0,0.0,0.0,0.0,100.0,0.0],[0.0,0.0,0.0,0.0,0.0,100.0]]"
solaris,Solaris,sphere_30mm,30 mm sphere,flat_opt,Opt-Flat,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,26,86.66666666666667,100.0,1.3333333333333333,26,4,6.5,0.0,"[[5,0,0,0,0,0],[0,5,0,0,0,0],[0,0,5,0,0,0],[0,0,1,4,0,0],[0,0,0,0,3,2],[0,0,0,0,1,4]]","[[100.0,0.0,0.0,0.0,0.0,0.0],[0.0,100.0,0.0,0.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,20.0,80.0,0.0,0.0],[0.0,0.0,0.0,0.0,60.0,40.0],[0.0,0.0,0.0,0.0,20.0,80.0]]"
solaris,Solaris,sphere_30mm,30 mm sphere,angled_opt,Opt-Curved,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,25,83.33333333333333,96.66666666666667,2.3333333333333335,25,5,5.0,0.0,"[[4,1,0,0,0,0],[0,4,1,0,0,0],[0,0,4,0,0,1],[0,0,0,5,0,0],[0,0,0,0,4,1],[0,0,0,0,1,4]]","[[80.0,20.0,0.0,0.0,0.0,0.0],[0.0,80.0,20.0,0.0,0.0,0.0],[0.0,0.0,80.0,0.0,0.0,20.0],[0.0,0.0,0.0,100.0,0.0,0.0],[0.0,0.0,0.0,0.0,80.0,20.0],[0.0,0.0,0.0,0.0,20.0,80.0]]"
dragon_skin,Dragon Skin,sphere_10mm,10 mm sphere,baseline,Baseline,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,22,73.33333333333333,93.33333333333333,4.666666666666667,22,8,2.75,0.0,"[[4,1,0,0,0,0],[1,2,2,0,0,0],[0,0,5,0,0,0],[0,0,0,4,1,0],[0,1,0,1,3,0],[1,0,0,0,0,4]]","[[80.0,20.0,0.0,0.0,0.0,0.0],[20.0,40.0,40.0,0.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,0.0,80.0,20.0,0.0],[0.0,20.0,0.0,20.0,60.0,0.0],[20.0,0.0,0.0,0.0,0.0,80.0]]"
dragon_skin,Dragon Skin,sphere_10mm,10 mm sphere,flat_opt,Opt-Flat,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,28,93.33333333333333,100.0,0.6666666666666666,28,2,14.0,0.0,"[[4,1,0,0,0,0],[0,5,0,0,0,0],[0,0,5,0,0,0],[0,0,1,4,0,0],[0,0,0,0,5,0],[0,0,0,0,0,5]]","[[80.0,20.0,0.0,0.0,0.0,0.0],[0.0,100.0,0.0,0.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,20.0,80.0,0.0,0.0],[0.0,0.0,0.0,0.0,100.0,0.0],[0.0,0.0,0.0,0.0,0.0,100.0]]"
dragon_skin,Dragon Skin,sphere_10mm,10 mm sphere,angled_opt,Opt-Curved,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,29,96.66666666666667,100.0,0.3333333333333333,29,1,29.0,0.0,"[[5,0,0,0,0,0],[0,5,0,0,0,0],[0,0,5,0,0,0],[0,0,0,4,1,0],[0,0,0,0,5,0],[0,0,0,0,0,5]]","[[100.0,0.0,0.0,0.0,0.0,0.0],[0.0,100.0,0.0,0.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,0.0,80.0,20.0,0.0],[0.0,0.0,0.0,0.0,100.0,0.0],[0.0,0.0,0.0,0.0,0.0,100.0]]"
dragon_skin,Dragon Skin,sphere_30mm,30 mm sphere,baseline,Baseline,"[0.0,10.0,20.0,30.0,40.0,50.0]",30,26,86.66666666666667,96.66666666666667,2.0,26,4,6.5,0.0,"[[4,1,0,0,0,0],[1,4,0,0,0,0],[0,0,5,0,0,0],[0,0,0,4,1,0],[0,0,0,0,5,0],[0,0,1,0,0,4]]","[[80.0,20.0,0.0,0.0,0.0,0.0],[20.0,80.0,0.0,0.0,0.0,0.0],[0.0,0.0,100.0,0.0,0.0,0.0],[0.0,0.0,0.0,80.0,20.0,0.0],[0.0,0.0,0.0,0.0,100.0,0.0],[0.0,0.0,20.0,0.0,0.0,80.0]]"
