material,morphology,display_name,displayed_contact_position_mm,hole_index,repetition_index,target_force_n,actual_force_n,image_path,timestamp_s,unloaded,run_id,capture_id,display_exposure_ev
solaris,baseline,Solaris Baseline,,,,0.0,0.15810846586784505,output/contact_dataset/Solaris-baseline/unloaded/capture_001/frames/000001.png,264158.625554296,True,,capture_001,0.275
solaris,baseline,Solaris Baseline,0.0,1,1,15.0,14.965436207377465,output/contact_dataset/Solaris-baseline/runs/run_0001/force_15N/frames/000001.png,264216.200606474,False,run_0001,,0.275
solaris,baseline,Solaris Baseline,20.0,3,1,15.0,15.723177632122802,output/contact_dataset/Solaris-baseline/runs/run_0011/force_15N/frames/000001.png,264291.755673461,False,run_0011,,0.275
solaris,baseline,Solaris Baseline,40.0,5,1,15.0,14.909996688061492,output/contact_dataset/Solaris-baseline/runs/run_0021/force_15N/frames/000000.png,264372.848097594,False,run_0021,,0.275
solaris,flat_opt,Solaris Opt-Flat,,,,0.0,0.07255682670216047,output/contact_dataset/Solaris-flat-opt/unloaded/capture_001/frames/000001.png,262899.354860412,True,,capture_001,0.275
solaris,flat_opt,Solaris Opt-Flat,0.0,1,1,15.0,14.42648117938626,output/contact_dataset/Solaris-flat-opt/runs/run_0001/force_15N/frames/000001.png,262934.246852141,False,run_0001,,0.275
solaris,flat_opt,Solaris Opt-Flat,20.0,3,1,15.0,14.604508682648138,output/contact_dataset/Solaris-flat-opt/runs/run_0011/force_15N/frames/000000.png,263010.869116484,False,run_0011,,0.275
solaris,flat_opt,Solaris Opt-Flat,40.0,5,1,15.0,14.622522088953042,output/contact_dataset/Solaris-flat-opt/runs/run_0021/force_15N/frames/000000.png,263439.213567599,False,run_0021,,0.275
solaris,angled_opt,Solaris Opt-Curved,,,,0.0,0.12020044418065234,output/contact_dataset/Solaris-angled-opt/unloaded/capture_001/frames/000001.png,259125.183659493,True,,capture_001,0.275
solaris,angled_opt,Solaris Opt-Curved,0.0,1,1,15.0,14.222959234935932,output/contact_dataset/Solaris-angled-opt/runs/run_0001/force_15N/frames/000001.png,259148.533986822,False,run_0001,,0.275
solaris,angled_opt,Solaris Opt-Curved,20.0,3,1,15.0,14.964144698811008,output/contact_dataset/Solaris-angled-opt/runs/run_0011/force_15N/frames/000001.png,259674.116874732,False,run_0011,,0.275
solaris,angled_opt,Solaris Opt-Curved,40.0,5,1,15.0,14.511771055291387,output/contact_dataset/Solaris-angled-opt/runs/run_0021/force_15N/frames/000000.png,259756.243479343,False,run_0021,,0.275
dragon_skin,baseline,Dragon Skin Baseline,,,,0.0,0.10174924347635775,output/contact_dataset/DragonSkin-baseline/unloaded/capture_001/frames/000001.png,265282.649948796,True,,capture_001,0.525
dragon_skin,baseline,Dragon Skin Baseline,0.0,1,1,15.0,14.904640647853434,output/contact_dataset/DragonSkin-baseline/runs/run_0001/force_15N/frames/000001.png,265306.266892255,False,run_0001,,0.525
dragon_skin,baseline,Dragon Skin Baseline,20.0,3,1,15.0,14.093858702643876,output/contact_dataset/DragonSkin-baseline/runs/run_0011/force_15N/frames/000000.png,265380.487566392,False,run_0011,,0.525
dragon_skin,baseline,Dragon Skin Baseline,40.0,5,1,15.0,14.914313250383064,output/contact_dataset/DragonSkin-baseline/runs/run_0021/force_15N/frames/000001.png,265458.644661532,False,run_0021,,0.525
dragon_skin,flat_opt,Dragon Skin Opt-Flat,,,,0.0,0.14939993673565052,output/contact_dataset/DragonSkin-flat-opt/unloaded/capture_001/frames/000001.png,267051.524642432,True,,capture_001,0.525
dragon_skin,flat_opt,Dragon Skin Opt-Flat,0.0,1,1,15.0,15.064978797240627,output/contact_dataset/DragonSkin-flat-opt/runs/run_0001/force_15N/frames/000000.png,267080.616760709,False,run_0001,,0.525
dragon_skin,flat_opt,Dragon Skin Opt-Flat,20.0,3,1,15.0,14.967129501860168,output/contact_dataset/DragonSkin-flat-opt/runs/run_0011/force_15N/frames/000001.png,267144.358640831,False,run_0011,,0.525
dragon_skin,flat_opt,Dragon Skin Opt-Flat,40.0,5,1,15.0,15.16411019939908,output/contact_dataset/DragonSkin-flat-opt/runs/run_0022/force_15N/frames/000001.png,267694.692691309,False,run_0022,,0.525
dragon_skin,angled_opt,Dragon Skin Opt-Curved,,,,0.0,0.29261216945434065,output/contact_dataset/DragonSkin-angled-opt/unloaded/capture_002/frames/000000.png,426771.278256122,True,,capture_002,0.525
dragon_skin,angled_opt,Dragon Skin Opt-Curved,0.0,1,1,15.0,14.969578098326926,output/contact_dataset/DragonSkin-angled-opt/runs/run_0001/force_15N/frames/000000.png,426562.126143985,False,run_0001,,0.525
dragon_skin,angled_opt,Dragon Skin Opt-Curved,20.0,3,1,15.0,14.517266393335285,output/contact_dataset/DragonSkin-angled-opt/runs/run_0011/force_15N/frames/000001.png,426638.381506988,False,run_0011,,0.525
dragon_skin,angled_opt,Dragon Skin Opt-Curved,40.0,5,1,15.0,14.729085498313559,output/contact_dataset/DragonSkin-angled-opt/runs/run_0021/force_15N/frames/000001.png,426712.768969212,False,run_0021,,0.525
