material,morphology,indenter,D_neighbor_median_DN_per_N,D_neighbor_IQR_DN_per_N,W_median_DN_per_N,W_IQR_DN_per_N,D_neighbor_over_W,baseline_D_neighbor_over_W,improvement_percent,excluded_run_ids,status
solaris,baseline,sphere_10mm,0.36186899384135024,0.04140878157979916,0.06522545421120524,0.056611613574816935,5.547972002917596,5.547972002917596,0.0,,measured
solaris,flat_opt,sphere_10mm,0.3307784758672637,0.10194847460351303,0.044019339885340264,0.04101234727973354,7.514389737076059,5.547972002917596,35.44390153959598,,measured
solaris,angled_opt,sphere_10mm,0.3452713200931675,0.02016621848629624,0.0542887454781603,0.04891835849282873,6.359906036732161,5.547972002917596,14.63478967427343,,measured
solaris,baseline,sphere_30mm,0.3323461357772275,0.06985864080025711,0.06793377032658354,0.06084718973077693,4.892208016418239,4.892208016418239,0.0,,measured
solaris,flat_opt,sphere_30mm,0.2531870026575969,0.0032930691652254818,0.04442369389112755,0.029167480334681816,5.699368523430338,4.892208016418239,16.498899971204615,,measured
solaris,angled_opt,sphere_30mm,0.38244116294849734,0.1064047738114402,0.054384027994972,0.06145469177545948,7.032233121530744,4.892208016418239,43.743542750647265,,measured
dragon_skin,baseline,sphere_10mm,0.35484220162223373,0.029374648011728954,0.05817223096329717,0.06022885234000045,6.099855476509328,6.099855476509328,0.0,,measured
dragon_skin,flat_opt,sphere_10mm,0.31781411165690426,0.1271630057575575,0.03378268639143227,0.03238982242579845,9.407603290468519,6.099855476509328,54.22665875769348,,measured
dragon_skin,angled_opt,sphere_10mm,0.37591562757812863,0.1369415696083734,0.038865768875320617,0.017165022607012616,9.672152087973522,6.099855476509328,58.56362704364364,,measured
dragon_skin,baseline,sphere_30mm,0.4297786228875211,0.14338990541264957,0.038545744232693836,0.022333314153030345,11.149833306967006,11.149833306967006,0.0,,measured
dragon_skin,flat_opt,sphere_30mm,0.5424353408023512,0.0829257673953534,0.03360152210315623,0.04696736824706306,16.14317765537769,11.149833306967006,44.78402690819225,,measured
dragon_skin,angled_opt,sphere_30mm,0.38665234074495636,0.013587972754664668,0.05090271225150636,0.03629710208916405,7.595908423003809,11.149833306967006,-31.87424229690067,run_0045,measured
