material,morphology,indenter,D_neighbor_median_DN_per_N,D_neighbor_IQR_DN_per_N,baseline_D_neighbor_DN_per_N,improvement_percent,status
solaris,baseline,sphere_10mm,0.36186899384135024,0.04140878157979916,0.36186899384135024,0.0,measured
solaris,flat_opt,sphere_10mm,0.3307784758672637,0.10194847460351303,0.36186899384135024,-8.591650156055408,measured
solaris,angled_opt,sphere_10mm,0.3452713200931675,0.02016621848629624,0.36186899384135024,-4.586652636909649,measured
solaris,baseline,sphere_30mm,0.3323461357772275,0.06985864080025711,0.3323461357772275,0.0,measured
solaris,flat_opt,sphere_30mm,0.2531870026575969,0.0032930691652254818,0.3323461357772275,-23.81827997924765,measured
solaris,angled_opt,sphere_30mm,0.38244116294849734,0.1064047738114402,0.3323461357772275,15.073148677994164,measured
dragon_skin,baseline,sphere_10mm,0.35484220162223373,0.029374648011728954,0.35484220162223373,0.0,measured
dragon_skin,flat_opt,sphere_10mm,0.31781411165690426,0.1271630057575575,0.35484220162223373,-10.435086299219199,measured
dragon_skin,angled_opt,sphere_10mm,nan,nan,0.35484220162223373,nan,pending
dragon_skin,baseline,sphere_30mm,0.6397287750895577,0.034044884824551924,0.6397287750895577,0.0,measured
dragon_skin,flat_opt,sphere_30mm,0.5424353408023512,0.0829257673953534,0.6397287750895577,-15.208544319987183,measured
dragon_skin,angled_opt,sphere_30mm,nan,nan,0.6397287750895577,nan,pending
