material,morphology,indenter,force_n,contact_i_mm,contact_j_mm,D_neighbor_DN
solaris,baseline,sphere_10mm,2.0,0.0,11.0,2.3296825865626896
solaris,baseline,sphere_10mm,2.0,11.0,22.0,2.320111669876447
solaris,baseline,sphere_10mm,2.0,22.0,33.0,2.2033252768699545
solaris,baseline,sphere_10mm,2.0,33.0,44.0,2.0309595300308634
solaris,baseline,sphere_10mm,2.0,44.0,55.0,1.6328738613485725
solaris,baseline,sphere_10mm,5.0,0.0,11.0,5.176257278574198
solaris,baseline,sphere_10mm,5.0,11.0,22.0,3.0726816828097836
solaris,baseline,sphere_10mm,5.0,22.0,33.0,3.2319518992776124
solaris,baseline,sphere_10mm,5.0,33.0,44.0,3.3420686843250618
solaris,baseline,sphere_10mm,5.0,44.0,55.0,2.679893529909885
solaris,baseline,sphere_10mm,10.0,0.0,11.0,6.365309946681329
solaris,baseline,sphere_10mm,10.0,11.0,22.0,3.732684295733146
solaris,baseline,sphere_10mm,10.0,22.0,33.0,4.849861911102673
solaris,baseline,sphere_10mm,10.0,33.0,44.0,5.292568490233079
solaris,baseline,sphere_10mm,10.0,44.0,55.0,4.59376867405122
solaris,baseline,sphere_10mm,15.0,0.0,11.0,6.2555364778882
solaris,baseline,sphere_10mm,15.0,11.0,22.0,4.435108270441104
solaris,baseline,sphere_10mm,15.0,22.0,33.0,5.658297293798916
solaris,baseline,sphere_10mm,15.0,33.0,44.0,6.320871487495571
solaris,baseline,sphere_10mm,15.0,44.0,55.0,6.8572860396901305
solaris,flat_opt,sphere_10mm,2.0,0.0,11.0,3.260611017756994
solaris,flat_opt,sphere_10mm,2.0,11.0,22.0,2.198309814904691
solaris,flat_opt,sphere_10mm,2.0,22.0,33.0,1.5063929303916204
solaris,flat_opt,sphere_10mm,2.0,33.0,44.0,1.4910638287280051
solaris,flat_opt,sphere_10mm,2.0,44.0,55.0,0.9031056657384782
solaris,flat_opt,sphere_10mm,5.0,0.0,11.0,4.933999402455399
